SKU,EAN,"OLD EAN",stock
KF23415,0732064578408,0732064578408,0
KF23416,0732064578415,0732064578415,0
KF23417,0732064578422,0732064578422,0
KF23418,0732064578439,0732064578439,10
KF23419,0732064578446,0732064578446,10
KF23420,0732064578453,0732064578453,10
KF231515,0732064578460,0732064578460,10
KF231082,0732064578477,0732064578477,10
KF231514,0732064578484,0732064578484,10
KF23421,0732064578491,0732064578491,10
KF23422,0732064578507,0732064578507,10
KF23423,0732064578514,0732064578514,10
KF23424,0732064578521,0732064578521,10
KF23425,0732064578538,0732064578538,10
KF23426,0732064578545,0732064578545,0
KF231513,0732064578552,0732064578552,10
KF23427,0732064578569,0732064578569,6
KF23428,0732064578576,0732064578576,10
KF23429,0732064578583,0732064578583,10
KF23430,0732064578590,0732064578590,10
KF23431,0732064578606,0732064578606,10
KF23432,0732064578613,0732064578613,10
KF23433,0732064578620,0732064578620,10
KF23434,0732064578637,0732064578637,10
KF23435,0732064578644,0732064578644,10
KF23436,0732064578651,0732064578651,10
KF23437,0732064578668,0732064578668,10
KF23438,0732064578675,0732064578675,0
KF23439,0732064578682,0732064578682,2
KF23440,0732064578699,0732064578699,5
KF23441,0732064578705,0732064578705,10
KF23442,0732064578712,0732064578712,9
KF23443,0732064578729,0732064578729,10
KF23444,0732064578736,0732064578736,0
KF23445,0732064578743,0732064578743,8
KF231511,0732064578750,0732064578750,2
KF231510,0732064578767,0732064578767,10
KF231509,0732064578774,0732064578774,0
KF23446,0732064578781,0732064578781,0
KF23447,0732064578798,0732064578798,0
KF23448,0732064578804,0732064578804,10
KF231212,0732064578811,0732064578811,6
KF231211,0732064578828,0732064578828,0
KF231606,0732064578835,0732064578835,0
KF231210,0732064578842,0732064578842,10
KF23449,0732064578859,0732064578859,0
KF231209,0732064578866,0732064578866,0
KF231208,0732064578873,0732064578873,0
KF231207,0732064578880,0732064578880,3
KF23450,0732064578897,0732064578897,0
KF231206,0732064578903,0732064578903,0
KF231205,0732064578910,0732064578910,6
KF231204,0732064578927,0732064578927,10
KF231203,0732064578934,0732064578934,0
KF23451,0732064578941,0732064578941,10
KF231202,0732064578958,0732064578958,10
KF231201,0732064578965,0732064578965,5
KF23452,0732064578972,0732064578972,10
KF231200,0732064578989,0732064578989,0
KF231199,0732064578996,0732064578996,0
KF231198,0732064579009,0732064579009,0
KF23453,0732064579016,0732064579016,1
KF231197,0732064579023,0732064579023,0
KF231196,0732064579030,0732064579030,0
KF231195,0732064579047,0732064579047,3
KF23454,0732064579054,0732064579054,10
KF231194,0732064579061,0732064579061,2
KF231193,0732064579078,0732064579078,5
KF231192,0732064579085,0732064579085,10
KF231191,0732064579092,0732064579092,0
KF23455,0732064579108,0732064579108,10
KF231190,0732064579115,0732064579115,10
KF231189,0732064579122,0732064579122,0
KF231188,0732064579139,0732064579139,0
KF231187,0732064579146,0732064579146,8
KF23456,0732064579153,0732064579153,0
KF231186,0732064579160,0732064579160,0
KF231185,0732064579177,0732064579177,6
KF23457,0732064579184,0732064579184,2
KF231184,0732064579191,0732064579191,0
KF231183,0732064579207,0732064579207,0
KF231182,0732064579214,0732064579214,0
KF23458,0732064579221,0732064579221,10
KF231181,0732064579238,0732064579238,0
KF231180,0732064579245,0732064579245,4
KF231179,0732064579252,0732064579252,10
KF231178,0732064579269,0732064579269,3
KF231177,0732064579276,0732064579276,0
KF231176,0732064579283,0732064579283,10
KF231175,0732064579290,0732064579290,10
KF23459,0732064579306,0732064579306,10
KF231174,0732064579313,0732064579313,10
KF231173,0732064579320,0732064579320,10
KF231172,0732064579337,0732064579337,7
KF231171,0732064579344,0732064579344,3
KF23460,0732064579351,0732064579351,0
KF231170,0732064579368,0732064579368,0
KF231169,0732064579375,0732064579375,0
KF23461,0732064579382,0732064579382,0
KF231168,0732064579399,0732064579399,0
KF231167,0732064579405,0732064579405,1
KF231166,0732064579412,0732064579412,1
KF231165,0732064579429,0732064579429,0
KF23462,0732064579436,0732064579436,4
KF231164,0732064579443,0732064579443,0
KF231163,0732064579450,0732064579450,5
KF231162,0732064579467,0732064579467,6
